pH,Extinct?,Number 
3,Yes,1
3,Yes,1
3,Yes,1
3,Yes,1
3,Yes,1
3,No,1
3,Yes,1
3,Yes,1
3,No,1
3,Yes,1
7,No,1
7,No,1
7,No,1
7,No,1
7,No,1
7,No,1
7,Yes,1
7,No,1
7,No,1
7,No,1
